iter	RMSE
0	21.17129052
1	20.00872086
2	19.10845334
3	18.14714992
4	17.31796739
5	16.59807099
6	16.01769967
7	15.42910791
8	14.83798769
9	14.37245472
10	13.97666274
11	13.56616264
12	13.24025525
13	12.91556995
14	12.63048522
15	12.35691991
16	12.1471148
17	11.94551319
18	11.76166663
19	11.59112114
20	11.44271405
21	11.29328112
22	11.16915429
23	11.05590597
24	10.94561584
25	10.85647368
26	10.76561102
27	10.66679295
28	10.55135374
29	10.46538204
30	10.39289132
31	10.31113035
32	10.25183722
33	10.21478026
34	10.17372989
35	10.1062775
36	10.05681079
37	10.02229681
38	9.976076193
39	9.943808587
40	9.879478704
41	9.853254831
42	9.810116174
43	9.769323811
44	9.680677927
45	9.632191087
46	9.593894455
47	9.567032088
48	9.53198838
49	9.490096718
