iter	RMSE
0	21.82575479
1	21.33117001
2	20.92034155
3	20.47525147
4	20.04103796
5	19.66518633
6	19.31951703
7	18.95070674
8	18.54854848
9	18.20088272
10	17.87300033
11	17.54943016
12	17.22428569
13	16.91989901
14	16.64322252
15	16.35130331
16	16.12600989
17	15.902196
18	15.67508805
19	15.45667625
20	15.23689892
21	15.02545343
22	14.80504615
23	14.63865172
24	14.44043431
25	14.24558855
26	14.0941369
27	13.9205606
28	13.75649104
29	13.59339681
30	13.43842489
31	13.31241847
32	13.16871041
33	13.04427852
34	12.91945368
35	12.80300606
36	12.68634964
37	12.57205359
38	12.48361833
39	12.4006832
40	12.30032358
41	12.22222806
42	12.14013105
43	12.06100264
44	11.98182721
45	11.90742493
46	11.83761044
47	11.77618316
48	11.70312579
49	11.6305255
50	11.5679755
51	11.50928671
52	11.44755949
53	11.38335026
54	11.32882176
55	11.28107928
56	11.22448274
57	11.1741018
58	11.12334543
59	11.08938741
60	11.04312227
61	10.98765149
62	10.945795
63	10.89762372
64	10.8579215
65	10.81961435
66	10.79318185
67	10.75658614
68	10.72194777
69	10.69052481
70	10.66019312
71	10.62767345
72	10.59010204
73	10.56475
74	10.53127812
75	10.50314155
76	10.47509069
77	10.4420073
78	10.40417123
79	10.37373637
80	10.34948043
81	10.32626993
82	10.29984952
83	10.2742235
84	10.24741408
85	10.22713075
86	10.21225064
87	10.17896085
88	10.14687624
89	10.12890348
90	10.10990359
91	10.08636124
92	10.06821703
93	10.04837109
94	10.03226591
95	10.01819987
96	9.990212027
97	9.980466027
98	9.962782561
99	9.943505547
100	9.923933501
101	9.901734908
102	9.875744251
103	9.860584209
104	9.847854607
105	9.822043108
106	9.811461018
107	9.796606304
108	9.785021884
109	9.764650234
110	9.744754187
111	9.725196435
112	9.714511338
113	9.704597484
114	9.693422188
115	9.669303278
116	9.655187499
117	9.641354561
118	9.621101855
119	9.613920041
120	9.59922969
121	9.577119167
122	9.560115902
123	9.541141328
124	9.525805153
125	9.502247002
126	9.493448805
127	9.469579117
128	9.45174382
129	9.439271522
130	9.430665626
131	9.418957976
132	9.405519377
133	9.390604321
134	9.377281844
135	9.366696686
136	9.350878571
137	9.339971683
138	9.322597147
139	9.314394844
140	9.301648092
141	9.289822005
142	9.273964179
143	9.256794729
144	9.242395261
145	9.232612231
146	9.224116914
147	9.206462336
148	9.186960345
149	9.174280474
150	9.153647048
151	9.143198149
152	9.127398094
153	9.118010246
154	9.109743388
155	9.083464635
156	9.071439561
157	9.062521388
158	9.051277443
159	9.042489584
160	9.030430067
161	9.016851941
162	8.998268708
163	8.98824259
164	8.971986412
165	8.959005406
166	8.945280848
167	8.934230208
168	8.926395812
169	8.921000634
170	8.904409685
171	8.897787563
172	8.885932048
173	8.875274258
174	8.862915738
175	8.852324741
176	8.844746631
177	8.838691301
178	8.823287403
179	8.812098535
180	8.803340539
181	8.790564379
182	8.779311386
183	8.769058855
184	8.761890884
185	8.751604684
186	8.739454579
187	8.727968034
188	8.712057542
189	8.706474107
190	8.69556526
191	8.690070709
192	8.678861905
193	8.67442019
194	8.654800072
195	8.642839723
196	8.628778067
197	8.615961289
198	8.605277051
199	8.581080306
200	8.564420907
201	8.553821319
202	8.547778757
203	8.537671305
204	8.522737319
205	8.506580686
206	8.492247896
207	8.48380217
208	8.471020483
209	8.465087465
210	8.457037786
211	8.447223879
212	8.441381285
213	8.433540811
214	8.422224851
215	8.411387812
216	8.405431235
217	8.399836021
218	8.391448496
219	8.379576086
220	8.36197548
221	8.345768076
222	8.340757887
223	8.332542164
224	8.323286337
225	8.316283265
226	8.302955771
227	8.289518071
228	8.285254279
229	8.278494634
230	8.272396886
231	8.260525472
232	8.251094688
233	8.242726589
234	8.232549448
235	8.221321471
236	8.216572905
237	8.207404201
238	8.195428425
239	8.185621561
240	8.172950817
241	8.166611737
242	8.163915959
243	8.159401402
244	8.15373098
245	8.145353458
246	8.136154095
247	8.128951408
248	8.124766631
249	8.120664713
250	8.11671288
251	8.106580842
252	8.097843829
253	8.095199804
