iter	Passed	Remaining
0	1	1114
1	2	1339
2	3	1323
3	5	1310
4	6	1308
5	8	1475
6	10	1490
7	12	1504
8	14	1554
9	15	1543
10	17	1551
11	18	1552
12	20	1547
13	22	1561
14	24	1587
15	26	1602
16	28	1621
17	30	1638
18	32	1663
19	34	1694
20	37	1727
21	39	1733
22	40	1727
23	42	1739
24	45	1756
25	46	1748
26	48	1742
27	49	1730
28	51	1725
29	52	1712
30	54	1700
31	56	1694
32	57	1689
33	59	1686
34	61	1697
35	63	1706
36	65	1699
37	67	1696
38	68	1689
39	70	1684
40	71	1679
41	73	1674
42	75	1672
43	76	1670
44	78	1667
45	80	1663
46	81	1655
47	83	1654
48	84	1649
49	86	1651
50	88	1650
51	90	1650
52	92	1647
53	93	1641
54	95	1637
55	96	1632
56	98	1628
57	99	1623
58	101	1619
59	103	1616
60	105	1616
61	106	1613
62	108	1611
63	110	1611
64	111	1610
65	113	1607
66	115	1602
67	116	1599
68	118	1595
69	119	1590
70	121	1588
71	122	1583
72	124	1579
73	125	1575
74	127	1574
75	129	1573
76	131	1572
77	132	1571
78	134	1571
79	136	1567
80	137	1564
81	139	1562
82	141	1562
83	143	1560
84	144	1558
85	146	1555
86	148	1553
87	149	1550
88	151	1548
89	152	1546
90	154	1546
91	156	1544
92	158	1543
93	159	1541
94	161	1539
95	163	1536
96	164	1534
97	166	1532
98	169	1538
99	170	1538
100	172	1535
101	174	1534
102	175	1531
103	177	1529
104	179	1529
105	181	1528
106	182	1523
107	184	1522
108	185	1518
109	187	1517
110	189	1514
111	190	1512
112	192	1509
113	193	1507
114	195	1505
115	197	1503
116	198	1501
117	200	1499
118	202	1496
119	203	1494
120	205	1492
121	207	1492
122	209	1491
123	210	1489
124	212	1488
125	214	1486
126	216	1487
127	218	1487
128	220	1486
129	221	1485
130	223	1483
131	225	1481
132	226	1478
133	228	1476
134	230	1474
135	231	1473
136	233	1471
137	235	1472
138	237	1473
139	239	1472
140	241	1470
141	242	1467
142	244	1464
143	245	1462
144	247	1460
145	249	1458
146	251	1457
147	252	1455
148	254	1454
149	256	1453
150	258	1451
151	260	1451
152	262	1451
153	264	1450
154	265	1448
155	267	1445
156	268	1442
157	270	1439
158	271	1435
159	273	1433
160	274	1431
161	276	1429
162	277	1427
163	279	1425
164	281	1423
165	282	1421
166	284	1419
167	286	1416
168	287	1415
169	289	1413
170	291	1411
171	292	1409
172	294	1406
173	295	1404
174	297	1402
175	298	1399
176	300	1395
177	301	1394
178	303	1392
179	305	1390
180	306	1388
181	308	1386
182	310	1384
183	311	1382
184	313	1379
185	314	1377
186	316	1375
187	317	1373
188	319	1372
189	321	1370
190	322	1367
191	324	1364
192	325	1362
193	327	1360
194	328	1357
195	330	1354
196	331	1352
197	333	1350
198	334	1348
199	336	1346
200	338	1344
201	339	1342
202	341	1340
203	342	1337
204	344	1335
205	345	1333
206	347	1331
207	348	1328
208	350	1326
209	352	1324
210	353	1323
211	355	1321
212	357	1319
213	358	1317
214	360	1314
215	361	1313
216	363	1310
217	364	1307
218	365	1304
219	367	1302
220	368	1299
221	370	1297
222	371	1295
223	373	1292
224	374	1290
225	376	1289
226	378	1287
227	379	1285
228	381	1284
229	382	1282
230	384	1279
231	385	1277
232	387	1274
233	388	1272
234	390	1270
235	391	1267
236	393	1266
237	394	1264
238	396	1262
239	397	1259
240	399	1257
241	400	1254
242	402	1253
243	404	1251
244	405	1250
245	407	1247
246	408	1245
247	410	1243
248	411	1241
249	413	1239
250	414	1236
251	416	1235
252	418	1234
253	419	1232
254	421	1230
255	422	1228
256	424	1226
257	425	1225
258	427	1223
259	429	1222
260	431	1220
261	432	1218
262	434	1216
263	435	1214
264	437	1212
265	438	1210
266	440	1208
267	441	1206
268	443	1203
269	444	1202
270	446	1200
271	447	1198
272	449	1197
273	451	1195
274	452	1193
275	454	1191
276	455	1188
277	456	1186
278	458	1184
279	459	1182
280	461	1180
281	462	1178
282	464	1176
283	465	1174
284	467	1172
285	468	1170
286	470	1168
287	472	1167
288	473	1165
289	475	1164
290	477	1162
291	478	1160
292	480	1158
293	482	1158
294	484	1157
295	486	1156
296	488	1155
297	489	1154
298	491	1152
299	493	1151
300	495	1149
301	496	1148
302	498	1146
303	499	1144
304	501	1143
305	503	1142
306	505	1140
307	507	1139
308	508	1137
309	510	1135
310	511	1133
311	513	1131
312	514	1129
313	516	1127
314	517	1125
315	519	1124
316	521	1122
317	522	1121
318	524	1119
319	526	1118
320	528	1116
321	529	1115
322	531	1113
323	532	1111
324	534	1109
325	536	1108
326	538	1107
327	539	1106
328	541	1103
329	543	1102
330	544	1100
331	546	1099
332	547	1097
333	549	1096
334	551	1095
335	553	1093
336	555	1092
337	556	1089
338	558	1088
339	559	1086
340	561	1084
341	562	1082
342	564	1082
343	566	1080
344	567	1078
345	569	1077
346	571	1075
347	573	1074
348	575	1072
349	576	1071
350	578	1070
351	580	1068
352	582	1067
353	583	1065
354	585	1064
355	587	1062
356	588	1060
357	590	1058
358	592	1058
359	594	1056
360	595	1054
361	597	1053
362	599	1051
363	601	1050
364	602	1048
365	604	1047
366	606	1046
367	608	1044
368	609	1042
369	610	1040
370	612	1038
371	614	1037
372	616	1036
373	618	1034
374	620	1033
375	622	1032
376	623	1030
377	624	1028
378	626	1026
379	628	1025
380	629	1023
381	631	1022
382	633	1021
383	635	1019
384	636	1017
385	638	1015
386	639	1013
387	641	1011
388	642	1009
389	644	1007
390	646	1006
391	648	1005
392	649	1003
393	651	1001
394	652	999
395	654	997
396	655	995
397	657	994
398	659	993
399	661	992
400	663	990
401	665	989
402	666	987
403	668	985
404	669	984
405	671	982
406	673	981
407	675	979
408	676	977
409	678	975
410	679	974
411	681	972
412	683	971
413	685	969
414	686	967
415	688	966
416	689	964
417	691	962
418	692	960
419	694	958
420	696	957
421	697	955
422	699	953
423	700	951
424	702	949
425	703	948
426	705	946
427	706	944
428	708	942
429	710	941
430	712	939
431	713	938
432	715	937
433	717	935
434	718	933
435	720	931
436	721	930
437	723	928
438	725	926
439	726	924
440	728	922
441	729	921
442	731	919
443	732	917
444	734	915
445	736	914
446	737	912
447	739	910
448	740	908
449	742	907
450	743	905
451	745	903
452	746	901
453	748	899
454	750	898
455	751	896
456	753	895
457	754	893
458	756	891
459	757	889
460	759	887
461	760	885
462	762	884
463	763	882
464	765	880
465	767	878
466	768	877
467	770	875
468	771	873
469	772	871
470	774	869
471	775	867
472	777	866
473	779	864
474	780	862
475	782	860
476	783	859
477	785	857
478	786	855
479	788	853
480	789	852
481	791	850
482	792	848
483	794	846
484	795	845
485	797	843
486	799	841
487	800	839
488	802	838
489	803	836
490	805	834
491	807	833
492	808	831
493	810	829
494	811	827
495	812	825
496	814	824
497	815	822
498	817	820
499	818	818
500	820	817
501	821	815
502	823	813
503	825	812
504	826	810
505	828	808
506	829	806
507	831	805
508	832	803
509	834	801
510	836	800
511	837	798
512	839	796
513	840	794
514	842	793
515	843	791
516	845	789
517	846	787
518	848	786
519	850	784
520	851	783
521	853	781
522	855	779
523	856	778
524	858	776
525	859	774
526	861	772
527	862	771
528	864	769
529	865	767
530	867	766
531	869	764
532	870	762
